goos: linux
goarch: amd64
pkg: github.com/koykov/dyntpl
cpu: 11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz
BenchmarkTpl/loopRangeLazybreakN-8 	  547249	      2270 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  506673	      2310 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  553404	      3005 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  514850	      2168 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeLazybreakN-8 	  546188	      2179 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 4019781	       303.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3429339	       318.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3912103	       324.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3774118	       307.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3959536	       304.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3910111	       302.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3958303	       391.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3488422	       336.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3587104	       312.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/loopRangeElse-8       	 3822492	       306.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	16752504	        72.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkTpl/raw-8                 	16462881	        73.42 ns/op	       0 B/op	       0 allocs/op
